                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                 1.2605,                 1.1526,                 1.3899,                 0.8869,                0.88462,                0.90119,                 0.5529,                 1.4016,                 1.0253,                 1.7407,              0.0017584,              0.0017584,              0.0017584
                     64,                 1.2557,                 1.0804,                 1.3992,                0.92296,                0.92161,                0.94311,                0.59024,                 1.2965,                0.89554,                 1.6203,              0.0017545,              0.0017545,              0.0017545
                     65,                 1.2659,                 1.1957,                 1.4309,                 0.8057,                0.92308,                0.88566,                0.57661,                 1.2046,                0.92978,                 1.5631,              0.0017505,              0.0017505,              0.0017505
                     66,                 1.2444,                 1.0945,                 1.3702,                0.71798,                      1,                0.85536,                0.52995,                 1.3871,                0.97647,                 1.7384,              0.0017466,              0.0017466,              0.0017466
                     67,                 1.2253,                 1.0387,                 1.3489,                0.82255,                0.80769,                0.89975,                0.55092,                 1.3017,                 1.0095,                 1.6428,              0.0017426,              0.0017426,              0.0017426
                     68,                 1.1911,                 1.0489,                 1.3232,                0.85543,                0.91066,                0.91578,                0.57922,                 1.2571,                 1.0393,                   1.56,              0.0017386,              0.0017386,              0.0017386
                     69,                 1.2085,                 1.0284,                 1.3622,                0.84724,                0.88462,                0.90785,                0.59787,                 1.2126,                0.92694,                 1.5724,              0.0017347,              0.0017347,              0.0017347
                     70,                 1.2395,                 1.0339,                 1.3627,                0.88761,                0.92308,                  0.959,                 0.5581,                 1.3261,                0.99557,                 1.6316,              0.0017307,              0.0017307,              0.0017307
                     71,                  1.273,                 1.0414,                 1.3612,                0.89451,                 0.9787,                0.96853,                0.55829,                 1.3408,                 0.9841,                 1.6574,              0.0017268,              0.0017268,              0.0017268
                     72,                  1.161,                 1.0042,                 1.3155,                0.85502,                0.96154,                0.92468,                0.58201,                 1.2083,                 1.1161,                 1.5438,              0.0017228,              0.0017228,              0.0017228
                     73,                 1.1542,                0.94932,                  1.308,                0.76678,                0.88521,                0.88332,                0.59628,                 1.1607,                0.93175,                 1.5262,              0.0017188,              0.0017188,              0.0017188
                     74,                 1.1999,                0.98793,                 1.3292,                0.81781,                0.96154,                0.88475,                0.57497,                 1.2357,                 1.1108,                 1.5676,              0.0017149,              0.0017149,              0.0017149
                     75,                 1.2015,                 1.0694,                 1.3679,                0.91309,                0.96154,                0.97446,                0.62242,                 1.2591,                0.90763,                 1.5515,              0.0017109,              0.0017109,              0.0017109
                     76,                   1.17,                 1.0217,                   1.35,                0.84825,                0.88462,                0.94125,                 0.6304,                 1.1461,                0.97822,                 1.5259,               0.001707,               0.001707,               0.001707
                     77,                 1.1865,                 1.0215,                 1.3143,                0.88728,                0.90861,                0.94995,                0.65455,                 1.1483,                0.81776,                 1.5045,               0.001703,               0.001703,               0.001703
                     78,                  1.208,                0.98235,                 1.3324,                0.94201,                0.80769,                0.95477,                0.61494,                  1.342,                0.87106,                 1.6639,               0.001699,               0.001699,               0.001699
                     79,                 1.1319,                 1.0774,                 1.3013,                0.88833,                0.91806,                0.94756,                0.54986,                 1.3284,                0.95141,                 1.6682,              0.0016951,              0.0016951,              0.0016951
                     80,                 1.1462,                0.98938,                 1.3164,                0.85159,                0.92308,                0.95027,                0.59006,                 1.2692,                0.83976,                 1.5806,              0.0016911,              0.0016911,              0.0016911
                     81,                 1.2284,                 1.0027,                 1.3626,                0.82029,                0.88462,                0.90128,                0.52343,                 1.5009,                0.99506,                 1.8662,              0.0016872,              0.0016872,              0.0016872
                     82,                 1.1422,                 1.0132,                 1.3371,                 0.9555,                0.80769,                0.95314,                0.55983,                  1.461,                0.85507,                 1.8254,              0.0016832,              0.0016832,              0.0016832
                     83,                 1.1841,                0.98038,                 1.3238,                0.88732,                0.96154,                0.97111,                0.57513,                 1.2624,                0.84512,                 1.7014,              0.0016792,              0.0016792,              0.0016792
                     84,                 1.1092,                0.94229,                 1.3064,                0.92309,                0.88462,                0.96892,                0.59612,                 1.2664,                0.76852,                 1.7317,              0.0016753,              0.0016753,              0.0016753
                     85,                 1.1181,                0.95387,                 1.2968,                0.92024,                0.88462,                0.97077,                0.58951,                 1.3616,                 0.7759,                 1.7131,              0.0016713,              0.0016713,              0.0016713
                     86,                 1.1318,                0.94865,                 1.2886,                0.97724,                0.88462,                0.96401,                0.56988,                 1.3134,                0.91674,                 1.6522,              0.0016674,              0.0016674,              0.0016674
                     87,                 1.1009,                0.90981,                 1.2962,                0.88045,                0.88462,                0.93122,                0.60893,                 1.2392,                0.93149,                   1.55,              0.0016634,              0.0016634,              0.0016634
                     88,                 1.1403,                0.97354,                 1.3032,                0.90387,                0.88462,                0.93612,                0.52263,                 1.3493,                0.97642,                 1.6777,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.0666,                0.89725,                 1.2432,                 0.8512,                0.88019,                 0.9319,                0.58946,                 1.2277,                 0.8844,                 1.5999,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.1083,                0.91983,                 1.2857,                0.95956,                0.91283,                0.97289,                0.64991,                 1.2054,                0.77368,                 1.5589,              0.0016515,              0.0016515,              0.0016515
                     91,                 1.2089,                0.98659,                 1.3715,                0.92194,                0.84615,                 0.9652,                0.61281,                 1.2403,                0.81338,                 1.5777,              0.0016476,              0.0016476,              0.0016476
                     92,                 1.1375,                0.91488,                 1.2786,                0.82336,                0.96154,                0.96989,                0.58029,                 1.3121,                0.84436,                 1.6167,              0.0016436,              0.0016436,              0.0016436
                     93,                 1.0618,                0.92335,                 1.2523,                0.86627,                0.99664,                0.97283,                 0.6251,                 1.3332,                0.78253,                 1.6569,              0.0016396,              0.0016396,              0.0016396
                     94,                 1.1436,                0.94966,                 1.3253,                0.85317,                0.96154,                0.97834,                0.63647,                  1.262,                0.79514,                 1.6063,              0.0016357,              0.0016357,              0.0016357
                     95,                 1.0907,                0.82887,                 1.2704,                 0.8552,                0.92308,                0.95519,                0.61254,                 1.2748,                0.90602,                 1.5507,              0.0016317,              0.0016317,              0.0016317
                     96,                 1.1094,                0.87044,                 1.2677,                0.90637,                0.92308,                0.93025,                0.53214,                 1.3708,                0.93274,                 1.6523,              0.0016278,              0.0016278,              0.0016278
                     97,                 1.1796,                0.94299,                 1.3204,                0.96471,                0.88462,                0.96494,                 0.5938,                 1.3354,                0.85327,                 1.6145,              0.0016238,              0.0016238,              0.0016238
                     98,                 1.1819,                0.92849,                 1.3285,                0.85963,                0.84615,                  0.936,                0.53617,                 1.4522,                0.94252,                 1.8369,              0.0016198,              0.0016198,              0.0016198
                     99,                  1.095,                0.87944,                 1.2557,                0.90436,                0.92308,                0.93299,                0.56032,                 1.4199,                0.88667,                 1.7269,              0.0016159,              0.0016159,              0.0016159
                    100,                 1.0062,                0.88282,                 1.2017,                0.92471,                0.96154,                0.98882,                0.58968,                 1.3954,                 0.7283,                  1.661,              0.0016119,              0.0016119,              0.0016119
                    101,                 1.0429,                0.87981,                 1.2596,                0.94145,                0.96154,                0.98792,                0.59254,                 1.3784,                 0.6998,                 1.6772,               0.001608,               0.001608,               0.001608
                    102,                 1.1053,                0.87822,                 1.2742,                0.96252,                0.98796,                0.99241,                0.64478,                 1.2673,                0.75253,                 1.6635,               0.001604,               0.001604,               0.001604
                    103,                 1.1438,                0.87421,                  1.345,                0.88966,                      1,                0.98093,                0.63203,                 1.2388,                0.78816,                 1.5892,                 0.0016,                 0.0016,                 0.0016
                    104,                  1.039,                0.86966,                 1.2508,                0.95535,                0.82338,                0.94791,                0.56611,                 1.4174,                0.87836,                 1.7567,              0.0015961,              0.0015961,              0.0015961
                    105,                 1.0609,                0.84977,                 1.2447,                0.81802,                0.88462,                0.93273,                0.56076,                 1.3713,                0.85543,                 1.7127,              0.0015921,              0.0015921,              0.0015921
                    106,                  1.044,                0.83046,                 1.2646,                0.82657,                0.91671,                0.94145,                0.59448,                 1.2092,                0.89055,                 1.5607,              0.0015882,              0.0015882,              0.0015882
                    107,                 1.0515,                0.85792,                  1.247,                0.88223,                0.92308,                0.94656,                0.61505,                 1.1968,                0.84397,                 1.5481,              0.0015842,              0.0015842,              0.0015842
